iter	Passed	Remaining
414	2884	4066
415	2889	4057
416	2895	4047
417	2900	4038
418	2905	4029
419	2910	4019
420	2915	4010
421	2921	4001
422	2926	3991
423	2931	3982
424	2937	3973
425	2942	3965
426	2948	3956
427	2954	3947
428	2959	3938
429	2964	3930
430	2970	3921
431	2975	3912
432	2980	3903
433	2986	3894
434	2990	3884
435	2995	3875
436	3002	3867
437	3007	3858
438	3012	3849
439	3017	3840
440	3022	3831
441	3027	3822
442	3033	3814
443	3038	3805
444	3043	3795
445	3048	3786
446	3053	3777
447	3058	3768
448	3063	3759
449	3069	3751
450	3074	3742
451	3082	3737
452	3088	3729
453	3094	3721
454	3099	3712
455	3105	3704
456	3111	3696
457	3116	3688
458	3122	3679
459	3127	3671
460	3132	3662
461	3137	3654
462	3143	3646
463	3149	3637
464	3154	3629
465	3160	3621
466	3165	3612
467	3170	3604
468	3176	3596
469	3181	3587
470	3186	3579
471	3192	3570
472	3196	3561
473	3202	3553
474	3207	3544
475	3212	3536
476	3218	3528
477	3224	3521
478	3230	3513
479	3238	3508
480	3252	3509
481	3269	3513
482	3290	3521
483	3310	3529
484	3323	3529
485	3334	3526
486	3342	3521
487	3348	3513
488	3355	3506
489	3363	3500
490	3368	3492
491	3376	3486
492	3382	3478
493	3389	3471
494	3396	3464
495	3403	3458
496	3410	3452
497	3416	3444
498	3427	3440
499	3432	3432
500	3441	3427
501	3446	3419
502	3452	3411
503	3459	3405
504	3465	3396
505	3474	3391
506	3479	3383
507	3487	3377
508	3493	3369
509	3500	3363
510	3508	3357
511	3514	3349
512	3521	3343
513	3527	3335
514	3535	3329
515	3541	3322
516	3549	3316
517	3558	3310
518	3565	3304
519	3574	3299
520	3582	3293
521	3588	3286
522	3593	3277
523	3599	3270
524	3605	3262
525	3611	3254
526	3617	3247
527	3623	3239
528	3629	3231
529	3637	3225
530	3643	3217
531	3650	3211
532	3656	3203
533	3661	3195
534	3668	3188
535	3675	3181
536	3682	3174
537	3687	3166
538	3693	3158
539	3700	3152
540	3706	3144
541	3713	3138
542	3720	3131
543	3725	3123
544	3733	3117
545	3739	3109
546	3746	3102
547	3752	3095
548	3758	3087
549	3767	3082
550	3773	3075
551	3782	3069
552	3787	3061
553	3793	3054
554	3800	3047
555	3805	3039
556	3812	3032
557	3818	3024
558	3823	3016
559	3831	3010
560	3836	3002
561	3841	2994
562	3849	2987
563	3854	2979
564	3861	2973
565	3867	2965
566	3872	2957
567	3880	2951
568	3886	2943
569	3892	2936
570	3899	2929
571	3904	2921
572	3912	2915
573	3918	2908
574	3924	2900
575	3931	2893
576	3936	2885
577	3943	2879
578	3949	2871
579	3954	2863
580	3962	2857
581	3967	2849
582	3973	2842
583	3979	2835
584	3985	2827
585	3991	2820
586	3997	2812
587	4003	2804
588	4010	2798
589	4016	2790
590	4020	2782
591	4028	2776
592	4033	2768
593	4039	2761
594	4045	2753
595	4050	2745
596	4058	2739
597	4064	2732
598	4069	2724
599	4077	2718
600	4082	2710
601	4089	2703
602	4096	2696
603	4101	2689
604	4107	2681
605	4113	2674
606	4118	2666
607	4124	2659
608	4130	2651
609	4135	2643
610	4141	2636
611	4147	2629
612	4153	2622
613	4159	2614
614	4164	2607
615	4170	2599
616	4177	2593
617	4183	2585
618	4189	2578
619	4196	2571
620	4202	2564
621	4208	2557
622	4214	2550
623	4221	2543
624	4227	2536
625	4232	2528
626	4238	2521
627	4244	2514
628	4249	2506
629	4255	2499
630	4260	2491
631	4265	2483
632	4270	2476
633	4276	2468
634	4281	2460
635	4286	2453
636	4292	2446
637	4299	2439
638	4309	2434
639	4317	2428
640	4325	2422
641	4331	2415
642	4340	2409
643	4345	2402
644	4351	2395
645	4357	2387
646	4362	2380
647	4368	2372
648	4373	2365
649	4378	2357
650	4384	2350
651	4389	2342
652	4395	2335
653	4403	2329
654	4409	2322
655	4417	2316
656	4424	2310
657	4430	2303
658	4437	2296
659	4442	2288
660	4448	2281
661	4453	2273
662	4459	2266
663	4464	2259
664	4470	2251
665	4476	2245
666	4483	2238
667	4489	2231
668	4494	2223
669	4503	2217
670	4509	2210
671	4516	2204
672	4522	2197
673	4527	2189
674	4533	2182
675	4538	2175
676	4544	2168
677	4550	2161
678	4556	2154
679	4562	2147
680	4568	2140
681	4575	2133
682	4583	2127
683	4589	2120
684	4597	2114
685	4604	2107
686	4612	2101
687	4619	2094
688	4626	2088
689	4634	2082
690	4641	2075
691	4648	2068
692	4655	2062
693	4661	2055
694	4668	2048
695	4675	2042
696	4681	2035
697	4687	2028
698	4694	2021
699	4700	2014
700	4707	2008
701	4714	2001
702	4721	1994
703	4727	1987
704	4734	1981
705	4741	1974
706	4747	1967
707	4755	1961
708	4760	1954
709	4766	1947
710	4773	1940
711	4779	1933
712	4784	1925
713	4790	1918
714	4796	1911
715	4801	1904
716	4807	1897
717	4812	1890
718	4817	1882
719	4822	1875
720	4827	1868
721	4832	1860
722	4837	1853
723	4844	1846
724	4849	1839
725	4855	1832
726	4860	1825
727	4865	1817
728	4870	1810
729	4876	1803
730	4881	1796
731	4886	1789
732	4892	1782
733	4897	1774
734	4902	1767
735	4907	1760
736	4912	1753
737	4918	1746
738	4923	1738
739	4928	1731
740	4936	1725
741	4944	1719
742	4951	1712
743	4959	1706
744	4965	1699
745	4972	1693
746	4978	1686
747	4985	1679
748	4992	1672
749	4998	1666
750	5004	1659
751	5018	1654
752	5025	1648
753	5032	1641
754	5039	1635
755	5047	1628
756	5052	1621
757	5057	1614
758	5063	1607
759	5069	1600
760	5074	1593
761	5079	1586
762	5085	1579
763	5091	1572
764	5096	1565
765	5101	1558
766	5107	1551
767	5112	1544
768	5117	1537
769	5123	1530
770	5128	1523
771	5134	1516
772	5140	1509
773	5145	1502
774	5155	1496
775	5161	1490
776	5168	1483
777	5175	1476
778	5181	1469
779	5187	1463
780	5192	1456
781	5197	1448
782	5204	1442
783	5209	1435
784	5214	1428
785	5221	1421
786	5227	1414
787	5234	1408
788	5240	1401
789	5247	1394
790	5253	1388
791	5260	1381
792	5267	1375
793	5273	1368
794	5279	1361
795	5285	1354
796	5292	1347
797	5298	1341
798	5303	1334
799	5308	1327
800	5314	1320
801	5319	1313
802	5324	1306
803	5329	1299
804	5334	1292
805	5339	1285
806	5344	1278
807	5349	1271
808	5354	1264
809	5359	1257
810	5364	1250
811	5369	1243
812	5374	1236
813	5379	1229
814	5384	1222
815	5389	1215
816	5394	1208
817	5400	1201
818	5405	1194
819	5410	1187
820	5414	1180
821	5419	1173
822	5425	1166
823	5430	1159
824	5435	1153
825	5441	1146
826	5445	1139
827	5451	1132
828	5458	1125
829	5465	1119
830	5470	1112
831	5477	1105
832	5483	1099
833	5494	1093
834	5502	1087
835	5509	1080
836	5516	1074
837	5522	1067
838	5527	1060
839	5533	1053
840	5538	1047
841	5542	1040
842	5550	1033
843	5557	1027
844	5565	1020
845	5571	1014
846	5577	1007
847	5582	1000
848	5587	993
849	5593	987
850	5599	980
851	5606	973
852	5612	967
853	5617	960
854	5623	953
855	5628	946
856	5633	939
857	5638	933
858	5643	926
859	5648	919
860	5653	912
861	5658	905
862	5664	899
863	5670	892
864	5676	885
865	5681	879
866	5687	872
867	5693	865
868	5698	859
869	5704	852
870	5712	846
871	5719	839
872	5725	832
873	5732	826
874	5738	819
875	5743	813
876	5748	806
877	5754	799
878	5759	792
879	5765	786
880	5771	779
881	5776	772
882	5781	766
883	5787	759
884	5792	752
885	5797	745
886	5802	739
887	5808	732
888	5813	725
889	5819	719
890	5824	712
891	5830	705
892	5835	699
893	5841	692
894	5846	685
895	5851	679
896	5856	672
897	5862	665
898	5867	659
899	5874	652
900	5879	645
901	5884	639
902	5890	632
903	5895	626
904	5900	619
905	5906	612
906	5911	606
907	5917	599
908	5922	592
909	5927	586
910	5933	579
911	5938	573
912	5944	566
913	5949	559
914	5954	553
915	5960	546
916	5965	539
917	5971	533
918	5976	526
919	5981	520
920	5986	513
921	5991	506
922	5997	500
923	6003	493
924	6008	487
925	6014	480
926	6022	474
927	6028	467
928	6035	461
929	6041	454
930	6047	448
931	6054	441
932	6062	435
933	6069	428
934	6076	422
935	6084	416
936	6091	409
937	6097	403
938	6104	396
939	6110	390
940	6117	383
941	6123	377
942	6128	370
943	6135	363
944	6141	357
945	6147	350
946	6153	344
947	6159	337
948	6166	331
949	6172	324
950	6178	318
951	6185	311
952	6190	305
953	6197	298
954	6203	292
955	6208	285
956	6216	279
957	6222	272
958	6229	266
959	6235	259
960	6240	253
961	6246	246
962	6252	240
963	6257	233
964	6263	227
965	6268	220
966	6273	214
967	6279	207
968	6284	201
969	6288	194
970	6294	188
971	6299	181
972	6304	174
973	6310	168
974	6315	161
975	6320	155
976	6325	148
977	6330	142
978	6335	135
979	6340	129
980	6345	122
981	6350	116
982	6356	109
983	6360	103
984	6365	96
985	6371	90
986	6376	83
987	6381	77
988	6388	71
989	6395	64
990	6401	58
991	6406	51
992	6415	45
993	6420	38
994	6427	32
995	6433	25
996	6439	19
997	6446	12
998	6451	6
999	6457	0
